yelpid,closed,scrapedurl,name,rating,review,verified,pricerange,categorylist,photos,phone,address,morebusinessinfo,openingtimes,lat,lng,seg
pata-cafe-elmhurst,False,https://www.yelp.com/biz/pata-cafe-elmhurst,Pata Cafe,4.5,101,Claimed,$$,"Bubble Tea, Cafes, Thai",271,(347) 469-7142,"5614 Van Horn St Elmhurst, NY 11373","Health Score A, Offers Delivery, Offers Takeout, No Reservations, Vegan Options, Accepts Credit Cards, Accepts Apple Pay, Good For Kids, Street Parking, Free Wi-Fi, No Outdoor Seating, Not Good For Groups, Dogs Not Allowed, No TV, No Bike Parking",Mon: 11:00 AM - 8:00 PM | Tue: 11:00 AM - 8:00 PM | Wed: 11:00 AM - 8:00 PM | Thu: 11:00 AM - 8:00 PM | Fri: 11:00 AM - 8:00 PM | Sat: 11:00 AM - 8:00 PM | Sun: Closed,,,2
porchetta-new-york-2,True,https://www.yelp.com/biz/porchetta-new-york-2,Porchetta,3.0,2,Claimed,NA,"Pop-Up Restaurants, Sandwiches",9,(212) 777-2151,"21 East 7th St New York, NY 10003",Offers Takeout,Mon: 11:30 AM - 10:00 PM | Tue: 11:30 AM - 10:00 PM | Wed: 11:30 AM - 10:00 PM | Thu: 11:30 AM - 10:00 PM | Fri: 11:30 AM - 11:00 PM | Sat: 11:30 AM - 11:00 PM | Sun: Closed,,,2
lilia-cafe-brooklyn,False,https://www.yelp.com/biz/lilia-brooklyn,Lilia,3.9,1272,Claimed,$$$$,"Italian, Cocktail Bars",>1000,(718) 576-3095,"567 Union Ave Brooklyn, NY 11211","Health Score A, Takes Reservations, By Appointment Only, Pescatarian Options, Many Vegetarian Options, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Outdoor Seating, Trendy, Moderate Noise, Casual Dress, Good for Groups, Good for Dinner, Street Parking, Waiter Service, Free Wi-Fi, Best nights on Wednesday, Friday, Saturday, Full Bar, TV, Gender-neutral restrooms, Offers Catering, Not Good For Kids, Not Good For Dancing, No Pool Table, No Happy Hour, No Smoking, Dogs Not Allowed, Bike Parking, Provides reusable tableware",Mon: 4:00 PM - 10:00 PM | Tue: 4:00 PM - 10:00 PM | Wed: 4:00 PM - 10:00 PM | Thu: 4:00 PM - 10:00 PM | Fri: 4:00 PM - 10:00 PM | Sat: 4:00 PM - 10:00 PM | Sun: 4:00 PM - 10:00 PM,,,2
5-napkin-burger-new-york,False,https://www.yelp.com/biz/5-napkin-burger-new-york-11,5 Napkin Burger,3.8,2389,Claimed,$$,Burgers,>1000,(212) 757-2277,"630 9th Ave New York, NY 10036","Health Score A, Takes Reservations, Offers Delivery, Offers Takeout, Pescatarian Options, Vegan Options, Many Vegetarian Options, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Outdoor Seating, Casual, Moderate Noise, Offers Catering, Good for Groups, Good For Kids, Good for Lunch, Dinner, Street Parking, Waiter Service, Free Wi-Fi, Happy Hour Specials, Full Bar, TV, Gender-neutral restrooms, Covered Outdoor Seating, Dogs Not Allowed, Bike Parking, Provides reusable tableware",Mon: 10:00 AM - 10:30 PM | Tue: 10:00 AM - 10:30 PM | Wed: 10:00 AM - 11:30 PM | Thu: 10:00 AM - 11:30 PM | Fri: 10:00 AM - 11:30 PM | Sat: 10:00 AM - 11:30 PM | Sun: 10:00 AM - 10:30 PM,,,2
yerba-buena-new-york,True,https://www.yelp.com/biz/yerba-buena-new-york,Yerba Buena,4.3,908,Claimed,$$$,"Latin American, Spanish, Caribbean",632,(212) 529-2919,"23 Avenue A Ste A New York, NY 10009","Takes Reservations, Offers Delivery, Offers Takeout, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Trendy, Moderate Noise, Offers Catering, Good for Groups, Good for Dinner, Street Parking, Free Wi-Fi, Full Bar, Gender-neutral restrooms, No Outdoor Seating, Not Good For Kids, No TV, No Bike Parking","Mon: 5:00 PM - 11:00 PM | Tue: 5:00 PM - 11:00 PM | Wed: 5:00 PM - 11:00 PM | Thu: 5:00 PM - 11:00 PM | Fri: 5:00 PM - 12:00 AM (Next day) | Sat: 12:00 PM - 3:30 PM, 5:00 PM - 12:00 AM (Next day) | Sun: 12:00 PM - 3:30 PM, 5:00 PM - 10:00 PM",,,2
ayada-thai-elmhurst,False,https://www.yelp.com/biz/ayada-thai-elmhurst-2,Ayada Thai,4.1,1417,Claimed,$$,Thai,>1000,(718) 424-0844,"77-08 Woodside Ave Elmhurst, NY 11373","Health Score 41.0, Takes Reservations, Offers Delivery, Offers Takeout, Vegan Options, Many Vegetarian Options, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Outdoor Seating, Casual, Moderate Noise, Offers Catering, Good for Groups, Good For Kids, Good for Lunch, Dinner, Street Parking, Waiter Service, Full Bar, Gender-neutral restrooms, Covered Outdoor Seating, No Wi-Fi, No Happy Hour, Dogs Not Allowed, No TV, Bike Parking, Provides reusable tableware",Mon: 11:30 AM - 11:00 PM | Tue: 11:30 AM - 11:00 PM | Wed: 11:30 AM - 11:00 PM | Thu: 11:30 AM - 11:00 PM | Fri: 11:30 AM - 11:00 PM | Sat: 11:30 AM - 11:00 PM | Sun: 11:30 AM - 11:00 PM,,,2
the-shakespeare-new-york,False,https://www.yelp.com/biz/the-shakespeare-new-york,The Shakespeare,3.8,402,Claimed,$$,"Pubs, British",414,(917) 639-3680,"24 E 39th St New York, NY 10016","Health Score Not Yet Graded, Takes Reservations, Offers Delivery, Offers Takeout, Vegan Options, Many Vegetarian Options, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Accepts Cryptocurrency, Casual, Classy, Moderate Noise, Offers Catering, Good for Groups, Good for Lunch, Dinner, Garage Parking, Street Parking, Waiter Service, Free Wi-Fi, Best nights on Monday, Tuesday, Friday, Happy Hour Specials, Full Bar, Wheelchair Accessible, TV, No Outdoor Seating, Not Good For Kids, Not Good For Dancing, No Pool Table, No Smoking, Dogs Not Allowed, No Heated Outdoor Seating, No Covered Outdoor Seating, No Private Dining, No Bike Parking",Mon: 3:00 PM - 12:00 AM (Next day) | Tue: 11:30 AM - 12:00 AM (Next day) | Wed: 11:30 AM - 12:00 AM (Next day) | Thu: 11:30 AM - 12:00 AM (Next day) | Fri: 11:30 AM - 2:00 AM (Next day) | Sat: 3:00 PM - 2:00 AM (Next day) | Sun: 12:00 PM - 8:00 PM,,,3
karasu-brooklyn-2,False,https://www.yelp.com/biz/karasu-brooklyn-2,Karasu,4.0,122,Claimed,$$$,"Japanese, Cocktail Bars",206,NA,"166 Dekalb Ave Walter's Brooklyn, NY 11217","Takes Reservations, No Delivery, No Takeout, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Trendy, Intimate, Romantic, Classy, Moderate Noise, Casual Dress, Good for Dinner, Late Night, Street Parking, Waiter Service, Best nights on Friday, Full Bar, Wheelchair Accessible, Gender-neutral restrooms, No Outdoor Seating, Offers Catering, Not Good For Groups, Not Good For Kids, No Wi-Fi, Dogs Not Allowed, No TV, Bike Parking",Mon: 5:00 PM - 11:00 PM | Tue: 5:00 PM - 11:00 PM | Wed: 5:00 PM - 11:00 PM | Thu: 5:00 PM - 11:00 PM | Fri: 5:00 PM - 12:00 AM (Next day) | Sat: 5:00 PM - 12:00 AM (Next day) | Sun: 5:00 PM - 10:00 PM,,,3
guys-american-kitchen-and-bar-new-york-2,True,https://www.yelp.com/biz/guys-american-kitchen-and-bar-new-york-2,Guy's American Kitchen and Bar,2.8,1445,Claimed,$$,"American, Gastropubs, Comfort Food",>1000,(646) 532-4897,"220 W 44th St New York, NY 10036","Takes Reservations, Offers Takeout, No Delivery, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Touristy, Moderate Noise, Good for Groups, Good For Kids, Good for Lunch, Dinner, Free Wi-Fi, Full Bar, TV, No Outdoor Seating, Offers Catering, No Bike Parking",Mon: 11:30 AM - 10:00 PM | Tue: 11:30 AM - 10:30 PM | Wed: 11:30 AM - 10:30 PM | Thu: 11:30 AM - 10:30 PM | Fri: 11:30 AM - 11:00 PM | Sat: 11:30 AM - 11:00 PM | Sun: 11:30 AM - 10:00 PM,,,3
blue-ribbon-sushi-bar-and-grill-new-york,False,https://www.yelp.com/biz/blue-ribbon-sushi-bar-and-grill-columbus-circle-new-york-3,Blue Ribbon Sushi Bar & Grill - Columbus Circle,3.9,866,Claimed,$$$,"Sushi Bars, Japanese, Cocktail Bars",>1000,(212) 397-0404,"308 W 58th St 6 Columbus Hotel New York, NY 10019","Health Score A, Takes Reservations, Offers Delivery, Offers Takeout, Pescatarian Options, Many Vegetarian Options, Accepts Credit Cards, Trendy, Classy, Moderate Noise, Casual Dress, Good for Groups, Good for Dinner, Waiter Service, Free Wi-Fi, Full Bar, Wheelchair Accessible, Open to All, Private Dining, No Outdoor Seating, Offers Catering, Not Good For Kids, Not Good For Dancing, No Pool Table, No Happy Hour, No Smoking, No Drive-Thru, Dogs Not Allowed, No TV, No Heated Outdoor Seating, No Covered Outdoor Seating, Bike Parking","Mon: 7:00 AM - 11:00 AM, 12:00 PM - 11:00 PM | Tue: 7:00 AM - 11:00 AM, 12:00 PM - 11:00 PM | Wed: 7:00 AM - 11:00 AM, 12:00 PM - 11:00 PM | Thu: 7:00 AM - 11:00 AM, 12:00 PM - 11:00 PM | Fri: 7:00 AM - 11:00 AM, 12:00 PM - 12:00 AM (Next day) | Sat: 7:00 AM - 11:00 AM, 12:00 PM - 12:00 AM (Next day) | Sun: 7:00 AM - 11:00 AM, 12:00 PM - 11:00 PM",,,3
by-chloe-new-york-11,True,https://www.yelp.com/biz/beatnic-west-village-new-york-2,Beatnic - West Village,4.0,1675,Claimed,$$,"Vegan, Vegetarian, Gluten-Free",>1000,(212) 290-8000,"185 Bleecker St New York, NY 10012","Health Score 48.0, Offers Delivery, Offers Takeout, No Reservations, Pescatarian Options, Vegan Options, Many Vegetarian Options, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Accepts Cryptocurrency, Outdoor Seating, Trendy, Classy, Casual, Moderate Noise, Offers Catering, Good For Kids, Good for Brunch, Lunch, Street Parking, Free Wi-Fi, Dogs Allowed, Wheelchair Accessible, Gender-neutral restrooms, Women-owned, Not Good For Groups, No Waiter Service, No Happy Hour, No Alcohol, No Drive-Thru, No TV, No Heated Outdoor Seating, No Covered Outdoor Seating, Bike Parking",Mon: 11:00 AM - 10:00 PM | Tue: 11:00 AM - 10:00 PM | Wed: 11:00 AM - 10:00 PM | Thu: 11:00 AM - 10:00 PM | Fri: 11:00 AM - 10:00 PM | Sat: 11:00 AM - 10:00 PM | Sun: 11:00 AM - 10:00 PM,,,3
neta-new-york,True,https://www.yelp.com/biz/neta-new-york,Neta,3.8,391,Claimed,$$$$,"Sushi Bars, Japanese",>1000,(212) 505-2610,"61 W 8th St New York, NY 10011","Takes Reservations, Offers Delivery, Offers Takeout, Vegan Options, Many Vegetarian Options, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Accepts Cryptocurrency, Classy, Moderate Noise, Casual Dress, Offers Catering, Good for Groups, Good for Dinner, Street Parking, Waiter Service, Full Bar, Wheelchair Accessible, Gender-neutral restrooms, Open to All, No Outdoor Seating, Not Good For Kids, No Wi-Fi, No TV, No Bike Parking","Mon: 12:00 PM - 2:00 PM, 5:00 PM - 10:30 PM | Tue: 12:00 PM - 2:00 PM, 5:00 PM - 10:30 PM | Wed: 12:00 PM - 2:00 PM, 5:00 PM - 10:30 PM | Thu: 12:00 PM - 2:00 PM, 5:00 PM - 10:30 PM | Fri: 12:00 PM - 2:00 PM, 5:00 PM - 11:30 PM | Sat: 12:00 PM - 2:00 PM, 5:00 PM - 11:30 PM | Sun: 12:00 PM - 2:00 PM, 5:00 PM - 10:30 PM",,,3
the-moxie-spot-brooklyn,True,https://www.yelp.com/biz/the-moxie-spot-brooklyn,The Moxie Spot,3.2,42,Claimed,$$,"American, Venues & Event Spaces",19,(718) 923-9710,"81 Atlantic Ave Brooklyn, NY 11201","Offers Delivery, Offers Takeout, No Reservations, Accepts Credit Cards, Casual, Moderate Noise, Offers Catering, Good for Groups, Good For Kids, Street Parking, Free Wi-Fi, Beer & Wine Only, TV, No Outdoor Seating",Mon: 10:00 AM - 3:00 PM | Tue: 10:00 AM - 3:00 PM | Wed: 10:00 AM - 3:00 PM | Thu: 10:00 AM - 3:00 PM | Fri: 10:00 AM - 3:00 PM | Sat: 10:00 AM - 3:00 PM | Sun: 10:00 AM - 3:00 PM,,,3
tsion-cafe-and-bakery-new-york,False,https://www.yelp.com/biz/tsion-cafe-new-york,Tsion Cafe,4.1,216,Claimed,$$,"Ethiopian, Mediterranean, Bars",162,(212) 234-2070,"763 St Nicholas Ave New York, NY 10031","Health Score A, Takes Reservations, Offers Takeout, Vegan Options, Accepts Credit Cards, Accepts Apple Pay, Accepts Cryptocurrency, Outdoor Seating, Classy, Casual, Moderate Noise, Offers Catering, Good for Groups, Good For Kids, Good for Brunch, Dinner, Street Parking, Waiter Service, Free Wi-Fi, Live Music, Beer & Wine Only, Wheelchair Accessible, Gender-neutral restrooms, No Smoking, Dogs Not Allowed, No TV, Bike Parking",Mon: Closed | Tue: 6:00 PM - 10:00 PM | Wed: 6:00 PM - 10:00 PM | Thu: 6:00 PM - 10:00 PM | Fri: 5:00 PM - 11:00 PM | Sat: 5:00 PM - 11:00 PM | Sun: Closed,,,3
rotisserie-georgette-new-york,True,https://www.yelp.com/biz/rotisserie-georgette-new-york,Rotisserie Georgette,3.9,207,Claimed,$$$,"French, Bars",155,(212) 390-8060,"14 E 60th St New York, NY 10022","Takes Reservations, Offers Delivery, Offers Takeout, Many Vegetarian Options, Accepts Credit Cards, Accepts Apple Pay, Accepts Cryptocurrency, Upscale, Classy, Moderate Noise, Dressy, Good for Groups, Good for Dinner, Street Parking, Free Wi-Fi, Full Bar, Gender-neutral restrooms, No Outdoor Seating, Offers Catering, Not Good For Kids, Not Good For Dancing, No TV, No Bike Parking","Mon: 12:00 PM - 2:30 PM, 5:00 PM - 10:00 PM | Tue: 12:00 PM - 2:30 PM, 5:00 PM - 11:00 PM | Wed: 12:00 PM - 2:30 PM, 5:00 PM - 11:00 PM | Thu: 12:00 PM - 2:30 PM, 5:00 PM - 11:00 PM | Fri: 12:00 PM - 2:30 PM, 5:00 PM - 11:00 PM | Sat: 5:00 PM - 11:00 PM | Sun: 12:00 PM - 3:00 PM, 5:00 PM - 10:00 PM",,,3
yuba-new-york-2,True,https://www.yelp.com/biz/yuba-new-york-2,Yuba,4.1,369,Claimed,$$,"Japanese, Sushi Bars, Asian Fusion",514,(212) 777-8188,"105 E 9th St New York, NY 10003","Offers Delivery, Offers Takeout, No Reservations, Many Vegetarian Options, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Accepts Cryptocurrency, Classy, Casual, Moderate Noise, Casual Dress, Offers Catering, Good for Groups, Good for Dinner, Street Parking, Free Wi-Fi, Beer & Wine Only, Gender-neutral restrooms, No Outdoor Seating, Not Good For Kids, No TV, No Bike Parking","Mon: 11:30 AM - 3:15 PM, 5:00 PM - 10:15 PM | Tue: 11:30 AM - 3:15 PM, 5:00 PM - 10:15 PM | Wed: 11:30 AM - 3:15 PM, 5:00 PM - 10:15 PM | Thu: 11:30 AM - 3:15 PM, 5:00 PM - 11:00 PM | Fri: 11:30 AM - 3:15 PM, 5:00 PM - 11:15 PM | Sat: 12:00 PM - 3:15 PM, 5:00 PM - 11:15 PM | Sun: 5:00 PM - 10:15 PM",,,3
zings-awesome-rice-new-york-2,True,https://www.yelp.com/biz/zings-awesome-rice-new-york-2,Zing's Awesome Rice,3.7,93,Claimed,$$,"Chinese, Fast Food, Asian Fusion",74,(347) 857-7668,"122 Ludlow St New York, NY 10002","Offers Delivery, Offers Takeout, No Reservations, Accepts Credit Cards, Accepts Apple Pay, Casual, Moderate Noise, Offers Catering, Good for Groups, Good For Kids, Good for Lunch, Dinner, Late Night, Street Parking, Beer & Wine Only, No Outdoor Seating, No Waiter Service, No Wi-Fi, No Drive-Thru, Not Wheelchair Accessible, No TV, No Bike Parking",Mon: 6:00 PM - 1:00 AM (Next day) | Tue: 6:00 PM - 1:00 AM (Next day) | Wed: 6:00 PM - 1:00 AM (Next day) | Thu: 6:00 PM - 1:00 AM (Next day) | Fri: 6:00 PM - 1:00 AM (Next day) | Sat: 11:00 AM - 1:00 AM (Next day) | Sun: 11:00 AM - 1:00 AM (Next day),,,3
korchma-taras-bulba-new-york,True,https://www.yelp.com/biz/korchma-taras-bulba-new-york,Korchma Taras Bulba Soho,4.1,351,Claimed,$$,"Ukrainian, Venues & Event Spaces, Music Venues",917,(212) 510-7510,"357 W Broadway New York, NY 10013","Takes Reservations, Offers Delivery, Offers Takeout, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Casual, Moderate Noise, Casual Dress, Offers Catering, Good for Groups, Good For Kids, Good for Lunch, Dinner, Street Parking, Free Wi-Fi, Full Bar, TV, Gender-neutral restrooms, No Outdoor Seating, Bike Parking",Mon: 12:00 PM - 11:00 PM | Tue: 12:00 PM - 11:00 PM | Wed: 12:00 PM - 11:00 PM | Thu: 12:00 PM - 11:00 PM | Fri: 12:00 PM - 12:00 AM (Next day) | Sat: 12:00 PM - 12:00 AM (Next day) | Sun: 12:00 PM - 11:00 PM,,,3
carino-brooklyn-5,True,https://www.yelp.com/biz/carino-brooklyn-5,Carino,4.0,265,Claimed,$$,Mexican,166,(718) 384-8282,"82 S 4th St Brooklyn, NY 11211","Takes Reservations, Offers Delivery, Offers Takeout, Accepts Credit Cards, Accepts Apple Pay, Outdoor Seating, Casual, Moderate Noise, Offers Catering, Good for Groups, Good For Kids, Good for Dinner, Street Parking, Free Wi-Fi, Full Bar, TV, Gender-neutral restrooms, No Bike Parking",Mon: 11:00 AM - 11:00 PM | Tue: 11:00 AM - 11:00 PM | Wed: 11:00 AM - 11:00 PM | Thu: 11:00 AM - 11:00 PM | Fri: 11:00 AM - 12:00 AM (Next day) | Sat: 11:00 AM - 12:00 AM (Next day) | Sun: 11:00 AM - 11:00 PM,,,3
dogmatic-restaurant-new-york-2,True,https://www.yelp.com/biz/dogmatic-restaurant-new-york-2,Dogmatic Restaurant,3.4,248,Claimed,$,"Hot Dogs, Fast Food",71,(212) 414-0600,"26 E 17th St New York, NY 10003","Offers Delivery, Offers Takeout, No Reservations, Accepts Credit Cards, Casual, Moderate Noise, Offers Catering, Good For Kids, Street Parking, No Outdoor Seating, Not Good For Groups, No Wi-Fi, No Alcohol, No TV",Mon: 11:00 AM - 9:00 PM | Tue: 11:00 AM - 9:00 PM | Wed: 11:00 AM - 9:00 PM | Thu: 11:00 AM - 9:00 PM | Fri: 11:00 AM - 9:00 PM | Sat: 11:00 AM - 9:00 PM | Sun: 12:00 PM - 7:00 PM,,,3
momofuku-ssam-bar-new-york-5,True,https://www.yelp.com/biz/momofuku-207-new-york,Momofuku 207,3.9,2430,Claimed,$$$,"Asian Fusion, Korean, Singaporean",>1000,(212) 254-3500,"207 2nd Ave New York, NY 10003","Takes Reservations, Offers Takeout, Vegan Options, Many Vegetarian Options, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Outdoor Seating, Trendy, Classy, Moderate Noise, Good for Groups, Good For Kids, Good for Dinner, Street Parking, Full Bar, Gender-neutral restrooms, Offers Catering, No Wi-Fi, No Happy Hour, Dogs Not Allowed, No TV, Bike Parking",Mon: Closed | Tue: 5:00 PM - 9:00 PM | Wed: 5:00 PM - 9:00 PM | Thu: 5:00 PM - 9:00 PM | Fri: 5:00 PM - 9:00 PM | Sat: 5:00 PM - 9:00 PM | Sun: Closed,,,3
df-nigerian-food-truck-new-york,False,https://www.yelp.com/biz/df-nigeria-food-truck-new-york,DF Nigeria Food Truck,3.8,65,Claimed,$$,"Food Trucks, African, Fast Food",79,(718) 451-6330,"828 2nd Ave New York, NY 10017","Takes Reservations, Offers Delivery, Offers Takeout, Vegan Options, Accepts Credit Cards, Accepts Apple Pay, Accepts Cryptocurrency, Outdoor Seating, Classy, Offers Catering, Good for Groups, Good For Kids, Wheelchair Accessible, TV, Black-owned, No Waiter Service, No Wi-Fi, No Alcohol, Bring your own container allowed",Mon: 10:00 AM - 8:00 PM | Tue: 10:00 AM - 8:00 PM | Wed: 10:00 AM - 8:00 PM | Thu: 10:00 AM - 8:00 PM | Fri: 10:00 AM - 8:00 PM | Sat: 10:00 AM - 8:00 PM | Sun: 11:00 AM - 8:00 PM,,,3
delaware-and-hudson-brooklyn,True,https://www.yelp.com/biz/delaware-and-hudson-brooklyn,Delaware and Hudson,4.1,279,Claimed,$$,"American, Pretzels, Breakfast & Brunch",306,(718) 218-8191,"135 N 5th St Brooklyn, NY 11211","Takes Reservations, Offers Delivery, Offers Takeout, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Accepts Cryptocurrency, Casual, Moderate Noise, Offers Catering, Good for Groups, Good for Dinner, Street Parking, Waiter Service, Free Wi-Fi, Full Bar, Wheelchair Accessible, TV, Gender-neutral restrooms, No Outdoor Seating, Not Good For Kids, Dogs Not Allowed, Bike Parking",Mon: 12:00 PM - 8:00 PM | Tue: 11:00 AM - 11:00 PM | Wed: 11:00 AM - 11:00 PM | Thu: 11:00 AM - 11:00 PM | Fri: 11:00 AM - 11:00 PM | Sat: 11:00 AM - 11:00 PM | Sun: 11:00 AM - 10:00 PM,,,3
sea-witch-brooklyn-2,False,https://www.yelp.com/biz/sea-witch-brooklyn-2,Sea Witch,3.8,293,Claimed,$$,"Lounges, Gastropubs, Beer Bar",136,(347) 227-7166,"703 5th Ave Brooklyn, NY 11215","Health Score A, Offers Delivery, Offers Takeout, No Reservations, Many Vegetarian Options, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Accepts Cryptocurrency, Outdoor Seating, Casual, Moderate Noise, Casual Dress, Good for Groups, Street Parking, Best nights on Tuesday, Friday, Saturday, Full Bar, Smoking Outside Only, Dogs Allowed, Gender-neutral restrooms, Heated Outdoor Seating, Covered Outdoor Seating, Offers Catering, Not Good For Kids, No Pool Table, No Waiter Service, No Wi-Fi, No Happy Hour, No TV, Bike Parking",Mon: 5:00 PM - 2:00 AM (Next day) | Tue: 5:00 PM - 2:00 AM (Next day) | Wed: 5:00 PM - 2:00 AM (Next day) | Thu: 5:00 PM - 2:00 AM (Next day) | Fri: 4:00 PM - 4:00 AM (Next day) | Sat: 2:00 PM - 4:00 AM (Next day) | Sun: 2:00 PM - 2:00 AM (Next day),,,3
ca-va-brasserie-new-york-3,True,https://www.yelp.com/biz/ca-va-brasserie-new-york-3,Ca Va Brasserie,3.1,237,Claimed,$$$,"Lounges, Comfort Food, Cocktail Bars",156,(212) 803-4545,"310 W 44th St New York, NY 10036","Takes Reservations, No Delivery, No Takeout, Accepts Credit Cards, Moderate Noise, Casual Dress, Good for Groups, Good for Dinner, Street Parking, Full Bar, No Outdoor Seating, Offers Catering, Not Good For Kids, No Pool Table, No Wi-Fi, No TV, No Bike Parking",Mon: 7:00 AM - 1:00 AM (Next day) | Tue: 7:00 AM - 1:00 AM (Next day) | Wed: 7:00 AM - 1:00 AM (Next day) | Thu: 7:00 AM - 1:00 AM (Next day) | Fri: 7:00 AM - 1:00 AM (Next day) | Sat: 7:00 AM - 1:00 AM (Next day) | Sun: 7:00 AM - 1:00 AM (Next day),,,3
grunauer-bistro-new-york-2,True,https://www.yelp.com/biz/grunauer-bistro-new-york-2,Grunauer Bistro,3.9,54,Claimed,$$$,"Austrian, Wine Bars",43,(212) 988-1077,"1578 1st Ave New York, NY 10028","Takes Reservations, Offers Delivery, Offers Takeout, Accepts Credit Cards, Accepts Cryptocurrency, Moderate Noise, Casual Dress, Offers Catering, Good for Groups, Good for Dinner, Street Parking, Waiter Service, Free Wi-Fi, Live Music, Best nights on Thursday, Friday, Saturday, Full Bar, Wheelchair Accessible, TV, No Outdoor Seating, Not Good For Kids, Not Good For Dancing, No Smoking, Dogs Not Allowed, No Bike Parking",Mon: 5:00 PM - 10:00 PM | Tue: 5:00 PM - 10:00 PM | Wed: 5:00 PM - 10:00 PM | Thu: 5:00 PM - 10:00 PM | Fri: 5:00 PM - 11:00 PM | Sat: 5:00 PM - 11:00 PM | Sun: 5:00 PM - 10:00 PM,,,3
eat-brooklyn-2,True,https://www.yelp.com/biz/eat-brooklyn-2,Eat,3.8,114,Claimed,$$,"Coffee & Tea, New American, Vegan",35,(718) 389-8083,"124 Meserole Ave Brooklyn, NY 11222","Takes Reservations, Offers Takeout, No Delivery, Accepts Credit Cards, Casual, Quiet, Good for Groups, Street Parking, No Outdoor Seating, Offers Catering, Not Good For Kids, No Wi-Fi, No Alcohol, No TV",Mon: Closed | Tue: 6:00 PM - 10:00 PM | Wed: 6:00 PM - 10:00 PM | Thu: 6:00 PM - 10:00 PM | Fri: 6:00 PM - 10:00 PM | Sat: 11:00 AM - 10:00 PM | Sun: 11:00 AM - 10:00 PM,,,3
hunan-manor-new-york,True,https://www.yelp.com/biz/hunan-manor-new-york,Hunan Manor,3.5,314,Claimed,$$,Chinese,260,NA,"339 Lexington Ave New York, NY 10016","Takes Reservations, Offers Delivery, Offers Takeout, Many Vegetarian Options, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Accepts Cryptocurrency, Casual, Moderate Noise, Offers Catering, Good for Groups, Good For Kids, Good for Lunch, Dinner, Street Parking, Free Wi-Fi, Beer & Wine Only, Gender-neutral restrooms, No Outdoor Seating, No TV, No Bike Parking","Mon: 11:30 AM - 3:00 PM, 5:00 PM - 10:00 PM | Tue: 11:30 AM - 3:00 PM, 5:00 PM - 10:00 PM | Wed: 11:30 AM - 3:00 PM, 5:00 PM - 10:00 PM | Thu: 11:30 AM - 3:00 PM, 5:00 PM - 10:00 PM | Fri: 11:30 AM - 3:00 PM, 5:00 PM - 10:00 PM | Sat: 12:00 PM - 3:00 PM, 5:00 PM - 10:00 PM | Sun: 12:00 PM - 3:00 PM, 5:00 PM - 10:00 PM",,,3
please-dont-tell-new-york-2,False,https://www.yelp.com/biz/please-dont-tell-new-york-2,Please Don't Tell,3.9,1953,Claimed,$$$,"Lounges, Speakeasies",>1000,(212) 614-0386,"113 St Marks Pl New York, NY 10009","Health Score A, Takes Reservations, Accepts Credit Cards, Accepts Android Pay, Accepts Apple Pay, Intimate, Classy, Moderate Noise, Casual Dress, Good for Groups, Street Parking, Best nights on Wednesday, Thursday, Friday, Full Bar, TV, Gender-neutral restrooms, No Outdoor Seating, Not Good For Dancing, Not Good For Working, No Pool Table, No Wi-Fi, No Happy Hour, No Smoking, Dogs Not Allowed, Bike Parking",Mon: 5:00 PM - 2:00 AM (Next day) | Tue: 5:00 PM - 2:00 AM (Next day) | Wed: 5:00 PM - 2:00 AM (Next day) | Thu: 5:00 PM - 3:00 AM (Next day) | Fri: 5:00 PM - 3:00 AM (Next day) | Sat: 5:00 PM - 3:00 AM (Next day) | Sun: 5:00 PM - 2:00 AM (Next day),,,3
